Nombre máquina,Recomendación
Máquina de corte,Cambio de aceite cada 6 meses
Máquina de corte,Limpieza de filtros
Máquina de corte,Limpieza de válvulas
Máquina de corte,Cambio de almohadillas
Máquina de corte,Cada 12 meses cambio de relevadores
Máquina de montado, Cambio de aceite cada 6 meses
Máquina de montado, Limpieza de filtros
Máquina de montado, Limpieza de válvulas
Máquina de montado, Lubricar partes móviles
Máquina de montado, Revisión de tornillos del cableado y sensores
Máquina de montar talones, Cambio de aceite cada 6 meses
Máquina de montar talones, Limpieza de filtros
Máquina de montar talones, Limpieza de válvulas
Máquina de pespunte, Cambio de aceite
Máquina de pespunte, Limpieza de filtros
Máquina de pespunte, Revisar tensión del hilo al cambiar el material 
Compresor de tornillo, Cambiar aceite cada 4000 horas de uso, siendo este mineral
Compresor de tornillo, Cambio de filtros
Compresor de tornillo, Cambio de bandas
Máquina de embarrar plantilla,Limpieza profunda a la máquina
Máquina Horno de secado,Calibrar sensores de temperatura
Máquina Horno de secado,Limpiar cámaras y ventiladores
Máquina Horno de secado,Revisar sistema de calentamiento
Máquina de ensuelar cordón,Purgar tanque cada mes
Máquina horno de rodillos,Lubricar e inspeccionar rodamientos
Máquina horno de rodillos,Verificar distribución térmica
Máquina de ensuelar hidráulica,Revisar niveles y estado del aceite
Máquina de ensuelar hidráulica,Cambiar sellos o empaques
Máquina de ensuelar hidráulica,Realizar pruebas de presión
